,Company Name,Industry,Symbol
422,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST
423,Sunteck Realty Ltd.,Realty,SUNTECK
424,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT
425,Supreme Industries Ltd.,Capital Goods,SUPREMEIND
426,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR
427,Suzlon Energy Ltd.,Capital Goods,SUZLON
428,Swan Energy Ltd.,Textiles,SWANENERGY
429,Symphony Ltd.,Consumer Durables,SYMPHONY
430,Syngene International Ltd.,Healthcare,SYNGENE
431,TCI Express Ltd.,Services,TCIEXP
432,TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS
433,TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG
434,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST
435,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
436,Tanla Platforms Ltd.,Information Technology,TANLA
437,Tata Chemicals Ltd.,Chemicals,TATACHEM
438,Tata Coffee Ltd.,Fast Moving Consumer Goods,TATACOFFEE
439,Tata Communications Ltd.,Telecommunication,TATACOMM
440,Tata Consultancy Services Ltd.,Information Technology,TCS
441,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
442,Tata Elxsi Ltd.,Information Technology,TATAELXSI
443,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
444,Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR
445,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
446,Tata Power Co. Ltd.,Power,TATAPOWER
447,Tata Steel Ltd.,Metals & Mining,TATASTEEL
448,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
449,Teamlease Services Ltd.,Services,TEAMLEASE
450,Tech Mahindra Ltd.,Information Technology,TECHM
451,Tejas Networks Ltd.,Telecommunication,TEJASNET
452,The New India Assurance Company Ltd.,Financial Services,NIACL
453,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM
454,Thermax Ltd.,Capital Goods,THERMAX
455,Thyrocare Technologies Ltd.,Healthcare,THYROCARE
456,Timken India Ltd.,Capital Goods,TIMKEN
457,Titan Company Ltd.,Consumer Durables,TITAN
458,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
459,Torrent Power Ltd.,Power,TORNTPOWER
460,Transport Corporation of India Ltd.,Services,TCI
461,Trent Ltd.,Consumer Services,TRENT
462,Trident Ltd.,Textiles,TRIDENT
463,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI
464,Triveni Turbine Ltd.,Capital Goods,TRITURBINE
465,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
466,UFLEX Ltd.,Capital Goods,UFLEX
467,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA
468,UPL Ltd.,Chemicals,UPL
469,UTI Asset Management Company Ltd.,Financial Services,UTIAMC
470,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
471,Union Bank of India,Financial Services,UNIONBANK
472,United Breweries Ltd.,Fast Moving Consumer Goods,UBL
473,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N
474,V-Guard Industries Ltd.,Consumer Durables,VGUARD
475,V-Mart Retail Ltd.,Consumer Services,VMART
476,V.I.P. Industries Ltd.,Consumer Durables,VIPIND
477,Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL
478,Vardhman Textiles Ltd.,Textiles,VTL
479,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC
480,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
481,Vedant Fashions Ltd.,Consumer Services,MANYAVAR
482,Vedanta Ltd.,Metals & Mining,VEDL
483,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
484,Vinati Organics Ltd.,Chemicals,VINATIORGA
485,Vodafone Idea Ltd.,Telecommunication,IDEA
486,Voltas Ltd.,Consumer Durables,VOLTAS
487,Welspun Corp Ltd.,Capital Goods,WELCORP
488,Welspun India Ltd.,Textiles,WELSPUNIND
489,Westlife Development Ltd.,Consumer Services,WESTLIFE
490,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL
